orgunit,title,pub_type,date_issued,authors,doi,publisher,abstract_en,abstract_de,pdf_paths,pdf_count
E194,Unplugged Decision Tree Learning – A Learning Activity for Machine Learning Education in K-12,Inproceedings,2025,"Lehner, Lukas,Landman, Martina",10.1007/978-3-031-73257-7_4,Springer Nature Switzerland,Artificial intelligence (AI) is now deeply ingrained in young peoples’ everyday lives. They need low-threshold learning opportunities to understand what AI is and how it works. Unplugged learning activities can offer such opportunities but must first manage to break down the topic’s complexities. This contribution presents such an activity giving students hands-on experience in training an actual machine learning (ML) model - all without a computer! ‘Actual’ here refers to the fact that the model students train ends up being an exact copy of what a standard Python implementation would produce. Three tools are presented that make this feasible in an unplugged two-hour workshop setting. We report our experience piloting the activity including questionnaire responses we collected from 56 upper secondary school students.,,,0
E194;E235;E105,Opportunities and pitfalls of regression algorithms for predicting the residual value of heavy equipment — A comparative analysis,Article,2025-02-01,"Huymajer, Marco,Filzmoser, Peter,Mazak, Alexandra,Winkler, Leopold,Kraxner, Hans",10.1016/j.engappai.2024.109599,,"The residual value of heavy equipment is essential for financial and economic considerations in the construction industry. In practice, empirical methods are frequently used to determine the residual value of a given piece of equipment. Here, various regression methods are compared based on a real-world dataset of used heavy equipment sales from a construction company. The results show that the prediction performance of traditional methods is clearly worse when compared to machine learning models not yet employed for this purpose. For the latter, preprocessing and parameter tuning are essential, and the article guides through these steps. Further, the article demonstrates how a variable importance value comparable across all methods can be obtained. These findings may also be useful in other applications.",,,0
E193,SPiKE: 3D Human Pose from Point Cloud Sequences,Inproceedings,2025,"Ballester, Irene,Peterka, Ondřej,Kampel, Martin",10.1007/978-3-031-78456-9_30,None,,,,0
E199;E194,"Algorithmen unplugged: Wie Schüler_innen Sortieren, Entscheiden und Informatik entdecken",Presentation,2025-01-07,"Landman, Martina",,,,"Algorithmen, maschinelles Lernen und KI – klingt kompliziert? Muss es nicht sein! Wir
unternehmen in diesem Vortrag eine aufregende und spielerische Reise, die das Thema für alle anschaulich macht: Dieser Vortrag zeigt, wie Schüler_innen Karten sortieren, eigene Strategien entwickeln und so unter anderem einen Entscheidungsbaum „pflanzen“ – und das alles ohne Computer! Dabei werden sowohl die zugrunde liegenden informatischen Konzepte der vorgestellten Aktivitäten anschaulich erklärt, als auch die Frage gelöst, wie Kinder Algorithmen wahrnehmen. Faszinierende, wie auch unerwartete Aussagen von Kindern, wie „Ein Algorithmus ist etwas, das immer wieder passiert. So wie mein Geburtstag“ faszinieren uns als Lehrende. Aber woher stammen solche Einfälle? Und was lernen wir aus ihnen, um das Verständnis für Algorithmen verbessern zu können",,0
E192,Quality Metrics and Reordering Strategies for Revealing Patterns in BioFabric Visualizations,Article,2025-01-01,"Fuchs, Johannes,Frings, Alexander,Heinle, Maria Viktoria,Keim, Daniel A.,Di Bartolomeo, Sara",10.1109/TVCG.2024.3456312,,"Visualizing relational data is crucial for understanding complex connections between entities in social networks, political affiliations, or biological interactions. Well-known representations like node-link diagrams and adjacency matrices offer valuable insights, but their effectiveness relies on the ability to identify patterns in the underlying topological structure. Reordering strategies and layout algorithms play a vital role in the visualization process since the arrangement of nodes, edges, or cells influences the visibility of these patterns. The BioFabric visualization combines elements of node-link diagrams and adjacency matrices, leveraging the strengths of both, the visual clarity of node-link diagrams and the tabular organization of adjacency matrices. A unique characteristic of BioFabric is the possibility to reorder nodes and edges separately. This raises the question of which combination of layout algorithms best reveals certain patterns. In this paper, we discuss patterns and anti-patterns in BioFabric, such as staircases or escalators, relate them to already established patterns, and propose metrics to evaluate their quality. Based on these quality metrics, we compared combinations of well-established reordering techniques applied to BioFabric with a well-known benchmark data set. Our experiments indicate that the edge order has a stronger influence on revealing patterns than the node layout. The results show that the best combination for revealing staircases is a barycentric node layout, together with an edge order based on node indices and length. Our research contributes a first building block for many promising future research directions, which we also share and discuss. A free copy of this paper and all supplemental materials are available at https://osf.io/9mt8r/?view_only = b70dfbe550e3404f83059afdc60184c6.",,,0
E194,"Digitaler Plattform- und Systembau: Über Spezifika, Evolution und IT-Architekturen in Sport und Rehabilitation",Book Contribution,2025,"Hoelbling, Dominik,Baranyi, René,Grechenig, Thomas",10.1007/978-3-662-68241-8_23-1,None,,,,0
E193,SHARP: Segmentation of Hands and Arms by Range Using Pseudo-depth for Enhanced Egocentric 3D Hand Pose Estimation and Action Recognition,Inproceedings,2025,"Mucha, Wiktor,Wray, Michael,Kampel, Martin",10.1007/978-3-031-78354-8_12,None,,,,0
E056;E192,Large and Parallel Human Sorting Networks,Inproceedings,2025,"Szeider, Stefan",10.1007/978-3-031-73257-7_16,Springer Nature Switzerland,"This paper presents two innovative extensions of the classic Human Sorting Network (HSN) activity from the CS Unplugged program. First, we describe the implementation of a large-scale HSN with 50 input nodes, realized with high school students in Vienna, Austria. We detail the logistical challenges and solutions for creating an HSN of this magnitude, including location selection, network layout, and participant coordination. Second, we report on using parallel 6-input HSNs, which introduce a competitive element and enhance engagement. This parallel setup allows for races between teams and can be adapted for various age groups and knowledge levels. Both extensions aim to increase the educational impact and enjoyment of the HSN activity. We provide comprehensive insights into our experiences, enabling other educators and researchers to replicate or further develop these HSN variants.",,,0
E193;E192,UnDRground Tubes: Exploring Spatial Data With Multidimensional Projections and Set Visualization,Article,2025-01,"Piccolotto, Nikolaus,Wallinger, Markus,Miksch, Silvia,Bögl, Markus",10.1109/TVCG.2024.3456314,,"In various scientific and industrial domains, analyzing multivariate spatial data, i.e., vectors associated with spatial locations, is common practice. To analyze those datasets, analysts may turn to methods such as Spatial Blind Source Separation (SBSS). Designed explicitly for spatial data analysis, SBSS finds latent components in the dataset and is superior to popular non-spatial methods, like PCA. However, when analysts try different tuning parameter settings, the amount of latent components complicates analytical tasks. Based on our years-long collaboration with SBSS researchers, we propose a visualization approach to tackle this challenge. The main component is UnDRground Tubes (UT), a general-purpose idiom combining ideas from set visualization and multidimensional projections. We describe the UT visualization pipeline and integrate UT into an interactive multiple-view system. We demonstrate its effectiveness through interviews with SBSS experts, a qualitative evaluation with visualization experts, and computational experiments. SBSS experts were excited about our approach. They saw many benefits for their work and potential applications for geostatistical data analysis more generally. UT was also well received by visualization experts. Our benchmarks show that UT projections and its heuristics are appropriate.",,,0
E193,KaiRacters: Character-Level-Based Writer Retrieval for Greek Papyri,Inproceedings,2025,"Peer, Marco,Sablatnig, Robert,Serbaeva, Olga,Marthot-Santaniello, Isabelle",10.1007/978-3-031-78495-8_5,None,,,,0
