title,pub_type,date_issued,authors,doi,publisher,abstract_en,abstract_de,pdf_paths,pdf_count,openalex_id,concepts,cited_by_count,referenced_works_count,concepts_norm
Fix Spectre in Hardware! Why and How,Inproceedings,2025-01,"Ertl, Martin",,,"Spectre can be fixed in hardware by treating speculative microarchitectural state in the same way as speculative architectural state: On mis-speculation throw away all the speculatively-performed changes. The resource-contention side channel needs to be closed, too. This position paper also explains how Spectre works, why software mitigations are not sufficient.",,pdfs/Fix_Spectre_in_Hardware_Why_and_How.pdf;pdfs/Fix_Spectre_in_Hardware_Why_and_How_2.pdf,2,,[],,,[]
How to Implement Words (Efficiently),Inproceedings,2025,"Ertl, M. Anton",,,"The implementation of Forth words has to satisfy the following requirements: 1) A word must be represented by a single cell (for execute). 2) A word may represent a combination of code and data (for, e.g., does>). In addition, on some hardware, keeping executed native code and (written) data close together results in slowness and therefore should be avoided; moreover, failing to pair up calls with returns results in (slow) branch mispredictions. The present work describes how various Forth systems over the decades have satisfied the requirements, and how many systems run into performance pitfalls in various situations. This paper also discusses how to avoid this slowness, including in native-code systems.",,pdfs/How_to_Implement_Words_Efficiently.pdf;pdfs/How_to_Implement_Words_Efficiently_2.pdf,2,,[],,,[]
Splitting Stump Forests: Tree Ensemble Compression for Edge Devices,Inproceedings,28/01/2025,"Alkhoury, Fouad,Welke, Pascal",10.1007/978-3-031-78980-9_1,Springer Nature,We introduce Splitting Stump Forests small ensembles of weak learners extracted from a trained random forest. The high memory consumption of random forest ensemble models renders them unfit for resource-constrained devices. We show empirically that we can significantly reduce the model size and inference time by selecting nodes that evenly split the arriving training data and applying a linear model on the resulting representation. Our extensive empirical evaluation indicates that Splitting Stump Forests outperform random forests and state-of-the-art compression methods on memory-limited embedded devices.,,pdfs/Splitting_Stump_Forests_Tree_Ensemble_Compression_for_Edge_Devices.pdf,1,https://openalex.org/W4406843754,"['Computer science', 'Enhanced Data Rates for GSM Evolution', 'Tree (set theory)', 'Compression (physics)', 'Artificial intelligence', 'Mathematics', 'Combinatorics', 'Materials science', 'Composite material']",2,35,['artificial intelligence; combinatorics; composite material; compression (physics); computer science; enhanced data rates for gsm evolution; materials science; mathematics; tree (set theory)']
Enhancing Industrial Cybersecurity: Insights from Analyzing Threat Groups and Strategies in Operational Technology Environments,Article,2025,"Bhole, Mukund,Sauter, Thilo,Kastner, Wolfgang",10.1109/ojies.2025.3527585,,"In recent years, concepts and components of Information Technology (IT) have made their way into the shop floor, today better known as Operational Technology (OT). The increasing interconnection and convergence of IT and OT have exposed industrial infrastructures to cyber attacks. In addition, they have become vulnerable to Advanced Persistent Threats (APTs). This article examines real-world incidents, looking at the complex landscape of threat groups targeting OT environments and the Tactic, Technique, and Procedures (TTPs) employed by these threat groups. Consequently, it highlights the need for increased vigilance in protecting OT environments, which can be done by using a variety of open-source threat intelligence platforms and databases, including ThaiCERT, Malpedia, MITRE ATT&CK, and ICS-CERT. We aim to provide relevant stakeholders (manufacturers, asset owners and system integrators), including Chief Information Security Officers (CISOs), with information on emerging threat groups, attack victims and their locations, the origins of attacks, the tools and types of tools used, and the motivations behind these attacks. This understanding is crucial to improving defensive strategies based on relevant standards and frameworks and protecting OT environments against evolving cyber threats.",,pdfs/Enhancing_Industrial_Cybersecurity_Insights_from_Analyzing_Threat_Groups_and_Strategies_in_Operational_Technology_Environments.pdf,1,https://openalex.org/W4406170875,"['Computer security', 'Business', 'Computer science', 'Internet privacy']",6,34,['business; computer science; computer security; internet privacy']
Simple Linear Loops: Algebraic Invariants and Applications,Inproceedings,2025,"Ait El Manssour, Rida,Kenison, George,Shirmohammadi, Mahsa,Varonka, Anton",10.1145/3704862,Association for Computing Machinery,"The automatic generation of loop invariants is a fundamental challenge in software verification. While this task is undecidable in general, it is decidable for certain restricted classes of programs. This work focuses on invariant generation for (branching-free) loops with a single linear update. Our primary contribution is a polynomial-space algorithm that computes the strongest algebraic invariant for simple linear loops, generating all polynomial equations that hold among program variables across all reachable states. The key to achieving our complexity bounds lies in mitigating the blow-up associated with variable elimination and Gr bner basis computation, as seen in prior works. Our procedure runs in polynomial time when the number of program variables is fixed. We examine various applications of our results on invariant generation, focusing on invariant verification and loop synthesis. The invariant verification problem investigates whether a polynomial ideal defining an algebraic set serves as an invariant for a given linear loop. We show that this problem is coNP-complete and lies in PSPACE when the input ideal is given in dense or sparse representations, respectively. In the context of loop synthesis, we aim to construct a loop with an infinite set of reachable states that upholds a specified algebraic property as an invariant. The strong synthesis variant of this problem requires the construction of loops for which the given property is the strongest invariant. In terms of hardness, synthesising loops over integers (or rationals) is as hard as Hilbert's Tenth problem (or its analogue over the rationals). When the constants of the output are constrained to bit-bounded rational numbers, we demonstrate that loop synthesis and its strong variant are both decidable in PSPACE, and in NP when the number of program variables is fixed.",,pdfs/Simple_Linear_Loops_Algebraic_Invariants_and_Applications.pdf,1,https://openalex.org/W4406221863,"['Simple (philosophy)', 'Algebraic number', 'Mathematics', 'Algebra over a field', 'Computer science', 'Calculus (dental)', 'Pure mathematics', 'Mathematical analysis', 'Epistemology', 'Philosophy', 'Dentistry', 'Medicine']",0,53,['algebra over a field; algebraic number; calculus (dental); computer science; dentistry; epistemology; mathematical analysis; mathematics; medicine; philosophy; pure mathematics; simple (philosophy)']
Why to Fail Fast and Often: A Strategy for OT Safety and Security Evaluation,Article,20/03/2025,"Bhole, Mukund,Sauter, Thilo,Semper, Sabrina,Kastner, Wolfgang",10.1109/access.2025.3553011,,"As the Operational Technology (OT) environment becomes increasingly interconnected and integrates diverse technologies, traditional models often struggle to accurately represent the complex interactions and dependencies of the underlying systems. Factors like changes in operational conditions, software updates, and the introduction of new devices can significantly impact the system s risk profile. This paper presents a methodology to bridge the gap between manual and automated safety and security requirements in Industry 4.0 OT environments. First, a meta-model is developed to capture OT infrastructure components and relationships. This is then transformed into a C#-based GUI, enabling tasks like network scanning, application and interface identification, and AI-powered data extraction. Next, compliance checks and risk assessments are conducted using standards such as IEC 62443-3-3 and methods like LOPA, SEFR (HAZID), STRIDE, and DREAD. Finally, the data is converted into system models (e.g., OWL, AutomationML) for visualization. This approach reduces complexity and time by 83.72%, though it faces challenges like platform dependency and resource constraints.",,pdfs/Why_to_Fail_Fast_and_Often_A_Strategy_for_OT_Safety_and_Security_Evaluation.pdf,1,https://openalex.org/W4408716139,"['Computer science', 'Computer security', 'Risk analysis (engineering)', 'Business']",1,72,['business; computer science; computer security; risk analysis (engineering)']
Self-Adaptive Intelligent Deployment of Message Brokers: An Empirical Study on IoT Performance,Inproceedings,2025,"Amiri, Amirali,Nastic, Stefan,Javadi, Bahman,Kastner, Wolfgang",10.1109/icm62621.2025.10934882,,"The Internet of Things (IoT) encompasses diverse characteristics, such as varying load frequencies and performance requirements. Designing static IoT systems to cover such varying loads is challenging. Self-adaptive systems, enhanced by artificial intelligence, can offer better performance by responding dynamically to changing conditions. Empirical research is essential to validate such systems. In this paper, we contribute by designing experiments to assess the performance of multiple IoT architectures under various load frequencies. Using the empirical data collected, we train an artificial neural network to predict response times for untested frequencies, identifying optimal scenarios for self-adaptive architecture transitions. We present a dataset of 2,641,008 points regarding the response times of requests for several industrial IoT deployment architectures. We perform an extensive systematic evaluation of 4,374 cases indicating 29.6% improvements in terms of reducing mean response times. Additionally, we provide prototypical tool support for practical implementations and to make our approach easy-to-use.",,pdfs/Self-Adaptive_Intelligent_Deployment_of_Message_Brokers_An_Empirical_Study_on_IoT_Performance.pdf,1,https://openalex.org/W4408860319,"['Software deployment', 'Computer science', 'Internet of Things', 'Empirical research', 'Computer security', 'Software engineering', 'Epistemology', 'Philosophy']",0,23,['computer science; computer security; empirical research; epistemology; internet of things; philosophy; software deployment; software engineering']
Automated Prioritization for Context-Aware Re-rendering in Editing,Article,2025,"Ulschmid, Annalena,Kr sl, Katharina,Wimmer, Michael,Kerbl, Bernhard",10.1007/s42979-025-03863-z,,"Real-time Monte Carlo path tracing has become a feasible option for interactive 3D scene editing due to recent advancements in GPU ray tracing performance, as well as (AI-accelerated) denoising techniques. While it is thus gaining increasing support in popular modeling software, even minor edits such as adjusting materials or moving small objects typically require current solutions to discard previous samples and restart the image formation process from scratch. A recent solution introduced two adaptive, priority-based re-rendering techniques implementing incremental updates while focusing first on reconstructing regions of high importance and gradually addressing less critical areas. An extensive user study compared these prioritized renderings with conventional same-time re-rendering to evaluate their effectiveness for interactive scene editing. Results indicate a significant preference for incremental rendering techniques for editing small objects over traditional full-screen re-rendering with denoising, even with basic priority policies. Building upon these results, we revisit the underlying design choices and derive more sophisticated priority policies that respect global illumination effects (shadows and reflections) as well as employing attention-based techniques (based either on eye tracking to prioritize areas in the user s gaze or, alternatively, using the cursor position).",,pdfs/Automated_Prioritization_for_Context-Aware_Re-rendering_in_Editing.pdf,1,https://openalex.org/W4409189894,"['Prioritization', 'Rendering (computer graphics)', 'Computer science', 'Context (archaeology)', 'Computer graphics (images)', 'History', 'Archaeology', 'Engineering', 'Process management']",0,25,['archaeology; computer graphics (images); computer science; context (archaeology); engineering; history; prioritization; process management; rendering (computer graphics)']
A scalable and secure transaction attachment algorithm for DAG-based blockchain,Article,01/05/2025,"Guo, Fengyang,Hecker, Artur,Dustdar, Schahram",10.1109/jiot.2024.3521680,,"Blockchain as an innovative distributed ledger technology, has attracted considerable attention in recent years from both academic circles and industry sectors. Its applications span a diverse range of domains, including finance and the Internet of Things (IoT). However, the scalability of blockchain technology is still a critical limitation with the increasing volume of data. To address this limitation, directed acyclic graph (DAG) data structure has been proposed to improve scalability by supporting asynchronous process of transactions. IOTA is a wellknown DAG-based blockchain that theoretically offers faster confirmation speeds with an increasing number of transactions. However, in practice, IOTA still faces the challenge of balancing scalability and security. In this paper, we propose a scalable and secure transaction attachment algorithm for the DAG-based blockchain IOTA. We determine two critical parameters through our experimental analysis: one for calculating the selection probability and the other for setting the threshold for abnormal transactions. Firstly, we calculate the selection probability of unconfirmed transactions. Then, we select abnormal transactions whose selection probability falls below the predefined threshold to maintain the security. Finally, new transactions attach randomly to former transactions with a time computational complexity O(n), ensuring the scalability. Through experiments comparing the proposed algorithm to the current transaction attaching algorithm, we demonstrate the scalability and security of our proposed algorithm.",,pdfs/A_scalable_and_secure_transaction_attachment_algorithm_for_DAG-based_blockchain.pdf,1,https://openalex.org/W4405718504,"['Blockchain', 'Computer science', 'Scalability', 'Database transaction', 'Distributed computing', 'Transaction processing', 'Algorithm', 'Algorithm design', 'Theoretical computer science', 'Computer network', 'Parallel computing', 'Computer security', 'Database']",1,30,['algorithm; algorithm design; blockchain; computer network; computer science; computer security; database; database transaction; distributed computing; parallel computing; scalability; theoretical computer science; transaction processing']
Supply chain optimization using model-based systems engineering and the internet of things,Article,2025,"Amiri, Amirali,Nastic, Stefan,Kastner, Wolfgang",10.1007/s00502-025-01321-5,,"Supply-Chain Management (SCM) is crucial for business operations, requiring careful planning and optimization to minimize product costs. New technologies like the Internet of Things (IoT) enable real-time monitoring of supply chain performance, helping detect malfunctions and adapt strategies to address issues like rising costs. However, IoT system architects face challenges in mastering diverse technologies and integrating them into SCM. Methodologies like Model-Based Systems Engineering (MBSE) simplify the design process by providing system models and views. In this paper, we propose an MBSE approach for IoT-driven supply chain optimization. Our approach automatically performs optimization based on IoT monitoring data. We illustrate how system designers can adapt our approach to their specific needs. For example, system designers can provide templates for the artifact generation, such as system code or input files for the optimization. We discuss multiple scenarios showcasing the benefits of our approach.","Das Supply Chain Management (SCM) ist entscheidend f r den Gesch ftsbetrieb und erfordert eine sorgf ltige Planung und Optimierung, um Produktkosten zu minimieren. Neue Technologien wie das Internet der Dinge (IoT) erm glichen eine Echtzeit berwachung der Lieferkettenleistung, wodurch Fehlfunktionen erkannt und Strategien zur Bew ltigung steigender Kosten angepasst werden k nnen. Allerdings stehen IoT-Systemarchitekt:innen vor der Herausforderung, verschiedene Technologien zu beherrschen und sie in das SCM zu integrieren. Methoden wie Model-Based Systems Engineering (MBSE) vereinfachen den Designprozess, indem sie Systemmodelle und -ansichten bereitstellen. In dieser Arbeit schlagen wir einen MBSE-Ansatz zur IoT-gest tzten Optimierung von Lieferketten vor. Unser Ansatz f hrt automatisch eine Optimierung basierend auf IoT- berwachungsdaten durch. Wir zeigen, wie Systementwickler:innen unseren Ansatz an ihre spezifischen Anforderungen anpassen k nnen, beispielsweise durch die Bereitstellung von Vorlagen f r die Artefakterstellung wie Systemcode oder Eingabedateien f r die Optimierung. Wir diskutieren verschiedene Szenarien, die die Vorteile unseres Ansatzes veranschaulichen.",pdfs/Supply_chain_optimization_using_model-based_systems_engineering_and_the_internet_of_things.pdf,1,https://openalex.org/W4409923668,"['Internet of Things', 'Chain (unit)', 'Computer science', 'Supply chain optimization', 'Supply chain', 'Supply chain management', 'Business', 'Computer security', 'Marketing', 'Astronomy', 'Physics']",0,14,['astronomy; business; chain (unit); computer science; computer security; internet of things; marketing; physics; supply chain; supply chain management; supply chain optimization']
